id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,has_high_sev_outage,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease,upsell_flag
JMAN_2453205,2023-02-03,0,1,0,0,0,0,0,0,1,17,0,0,2,0,Technology,01-Sep,0,0,0,,,,,0,8,0,0,3.0,0,17,246.72,251.52,0.0,4.8,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0,1
JMAN_2453288,2023-01-27,1,0,0,0,0,1,0,0,0,17,0,0,4,0,Technology,Oct-49,0,0,0,,,,,0,8,0,0,3.0,0,235,960.0,5340.0,4380.0,0.0,1488.0,1380.0,0.0,1,1,0,100,130,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2453701,2023-02-03,0,1,1,0,0,1,0,0,0,17,0,0,3,0,Education,250 - 499,0,0,0,,,,,0,0,0,0,20.0,31,29,3117.0,4448.28,1253.64,77.64,1253.856,0.0,0.0,1,1,1,100,100,0,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0,1
JMAN_2454663,2023-02-03,0,1,1,0,0,1,0,0,0,17,0,0,4,0,Healthcare,500 - 999,0,0,0,,,,,0,9,1,1,0.0,0,28,194.76,198.6,0.0,3.84,0.0,0.0,0.0,0,0,0,100,100,0,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0,1
JMAN_2454977,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Manufacturing & Resources,Oct-49,0,0,0,,,,,0,9,1,1,0.0,0,1,2026.08,,-2030.28,4.2,0.0,-2030.28,0.0,1,1,0,100,100,0,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0,1
JMAN_2455695,2023-02-24,1,0,0,0,0,0,1,0,0,17,0,0,4,0,Corporate Services,100 - 249,0,0,0,,,,,0,8,0,0,11.0,0,0,1116.0,1116.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2456399,2023-02-03,1,0,0,0,0,1,0,0,0,17,0,0,1,0,Financial Services,01-Sep,0,0,0,,,,,0,9,1,1,0.0,7,21,7314.36,13192.8,5342.64,535.8,0.0,909.72,0.0,1,1,0,100,100,0,5.0,0.6,5.0,5.0,1,0,1.0,1.0,0,0,1
JMAN_2456399,2023-02-24,1,0,0,0,0,1,0,0,0,17,0,0,1,0,Financial Services,01-Sep,0,100,20,,,,,0,15,1,1,0.0,16,121,11747.28,13192.8,909.72,535.8,0.0,909.72,0.0,1,1,1,100,100,0,5.0,0.6,5.0,5.0,0,1,1.0,1.0,0,0,1
JMAN_2456787,2023-02-03,1,0,0,0,0,0,0,0,1,17,1,0,3,0,Technology,100 - 249,0,100,10,,100.0,,9.0,0,0,0,0,14.0,146,85,22955.52,25756.8,2280.48,529.44,2264.412,0.0,-155.28,1,1,0,100,100,0,20.0,0.6,20.0,20.0,0,1,1.0,1.0,0,0,1
JMAN_2457132,2023-01-13,1,0,0,0,0,0,0,0,1,17,1,0,3,0,Technology,Oct-49,0,0,0,,,,,0,9,0,0,10.0,4,1143,42240.0,42240.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,55.0,0.358490566,53.0,53.0,0,1,0.963636364,1.0,0,1,1
